Composition (at. %),VEC1,VEC,Electronegativity,Tm/K,δ/nm,B,C,Al,Si,P,Cr,Fe,Co,Ni,Cu,Ga,Y,Zr,Nb,Mo,Sn,Sb,Pr,Nd,Sm,Gd,Tb,Dy,Er,Tm,Hf,Ta,Bs/T,T/K
Fe63Co20 Si2B11P3C1,2.4,7.44,1.8825,1855.3,0.00423,0.11,0.01,0,0.02,0.03,0,0.63,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73,711
Fe69Si3.3P8.7C7.0B5.0Co7,1.627,7.147,1.92803,1909.282,0.006246,0.05,0.07,0,0.033,0.087,0,0.69,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,763
Fe79.92P8.991C8.991B1.998Cu0.1,0.870130000000001,7.26373,1.9313686,1942.09532,0.00611788,0.01998,0.08991,0,0,0.08991,0,0.7992,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39,732
Fe79.76P8.973C8.973B1.994Cu0.3,0.87039,7.25119,1.9313058,1940.92596,0.00611364,0.01994,0.08973,0,0,0.08973,0,0.7976,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,725
Fe79.6P8.955C8.955B1.99Cu0.5,0.87065,7.23865,1.931243,1939.7566,0.0061094,0.0199,0.08955,0,0,0.08955,0,0.796,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,716
Fe79.44P8.937C8.937B1.986Cu0.7,0.870909999999999,7.22611,1.9311802,1938.58724,0.00610516,0.01986,0.08937,0,0,0.08937,0,0.7944,0,0,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44,713
Fe79.2P8.91C8.91B1.98Cu1,0.8713,7.2073,1.931086,1936.8332,0.0060988,0.0198,0.0891,0,0,0.0891,0,0.792,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38,702
Fe77.3C5.1B6.9Si2.7P7.3Cu0.7,0.891,7.075,1.90987,1890.191,0.005572,0.069,0.051,0,0.027,0.073,0,0.773,0,0,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45,746
Fe78.3C4.1B6.9Si2.7P7.3Cu0.7,0.851,7.115,1.90267,1867.311,0.005102,0.069,0.041,0,0.027,0.073,0,0.783,0,0,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,726
Fe79.3C3.1B6.9Si2.7P7.3Cu0.7,0.811,7.155,1.89547,1844.431,0.004632,0.069,0.031,0,0.027,0.073,0,0.793,0,0,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.51,709
Fe80.3C2.1B6.9Si2.7P7.3Cu0.7,0.771,7.195,1.88827,1821.551,0.004162,0.069,0.021,0,0.027,0.073,0,0.803,0,0,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,698
Fe81.3C1.1B6.9Si2.7P7.3Cu0.7,0.731,7.235,1.88107,1798.671,0.003692,0.069,0.011,0,0.027,0.073,0,0.813,0,0,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.58,691
Fe77.3C3.1B8.9Si2.7P7.3Cu0.7,0.871,7.055,1.89967,1855.511,0.005172,0.089,0.031,0,0.027,0.073,0,0.773,0,0,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.43,745
Fe78.3C3.1B7.9Si2.7P7.3Cu0.7,0.840999999999999,7.105,1.89757,1849.971,0.004902,0.079,0.031,0,0.027,0.073,0,0.783,0,0,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,729
Fe80.3C3.1B5.9Si2.7P7.3Cu0.7,0.781,7.205,1.89337,1838.891,0.004362,0.059,0.031,0,0.027,0.073,0,0.803,0,0,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,699
Fe81.3C3.1B4.9Si2.7P7.3Cu0.7,0.750999999999999,7.255,1.89127,1833.351,0.004092,0.049,0.031,0,0.027,0.073,0,0.813,0,0,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.63,683
Fe77.3C3.1B6.9Si4.7P7.3Cu0.7,0.891,7.075,1.89687,1841.951,0.004772,0.069,0.031,0,0.047,0.073,0,0.773,0,0,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,752
Fe78.3C3.1B6.9Si3.7P7.3Cu0.7,0.851,7.115,1.89617,1843.191,0.004702,0.069,0.031,0,0.037,0.073,0,0.783,0,0,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,728
Fe80.3C3.1B6.9Si1.7P7.3Cu0.7,0.771,7.195,1.89477,1845.671,0.004562,0.069,0.031,0,0.017,0.073,0,0.803,0,0,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,696
Fe81.3C3.1B6.9Si0.7P7.3Cu0.7,0.731,7.235,1.89407,1846.911,0.004492,0.069,0.031,0,0.007,0.073,0,0.813,0,0,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.55,682
Fe77.3C3.1B6.9Si2.7P9.3Cu0.7,0.911,7.095,1.90267,1825.471,0.004932,0.069,0.031,0,0.027,0.093,0,0.773,0,0,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.43,746
Fe78.3C3.1B6.9Si2.7P8.3Cu0.7,0.861,7.125,1.89907,1834.951,0.004782,0.069,0.031,0,0.027,0.083,0,0.783,0,0,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,721
Fe80.3C3.1B6.9Si2.7P6.3Cu0.7,0.761,7.185,1.89187,1853.911,0.004482,0.069,0.031,0,0.027,0.063,0,0.803,0,0,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,696
Fe81.3C3.1B6.9Si2.7P5.3Cu0.7,0.710999999999999,7.215,1.88827,1863.391,0.004332,0.069,0.031,0,0.027,0.053,0,0.813,0,0,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61,686
Fe75Ga5P12C4B4,0.430000000000001,6.43,1.6466,1631.96,0.00351,0.04,0.04,0,0,0,0,0.75,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28,768
Fe77Ga3P9.5C4B4Si2.5,0.945,7.105,1.90255,1786.28,0.00489,0.04,0.04,0,0.025,0.095,0,0.77,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36,798
Fe78Ga2P9.5C4B4Si2.5,0.915,7.155,1.90275,1801.36,0.00478,0.04,0.04,0,0.025,0.095,0,0.78,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,775
